id,label
jet_877,0.0939638
jet_4950,0.7767703
jet_2484,0.35954428
jet_2288,1.1459074
jet_811,0.10128075
jet_248,0.62775844
jet_3298,0.5511175
jet_106,0.029848993
jet_279,0.80787164
jet_1281,0.88194305
jet_2822,0.1351819
jet_4159,0.70415276
jet_5025,1.1179099
jet_3970,0.94338423
jet_333,0.5751112
jet_3064,0.42274135
jet_501,0.07243943
jet_2092,0.2899444
jet_3253,0.133528
jet_1477,0.121019185
jet_4449,1.5276289
jet_2547,0.28289765
jet_2841,0.22786862
jet_1158,0.06730145
jet_4668,0.51559764
jet_859,0.20815057
jet_2686,1.1992261
jet_4479,1.2105422
jet_3570,1.2357411
jet_1335,0.7193549
jet_3686,1.6740038
jet_2445,0.35671568
jet_2536,0.024910688
jet_2083,0.6925824
jet_1807,0.20501506
jet_2584,1.6474395
jet_3630,0.8194607
jet_4119,1.0172849
jet_296,0.11816245
jet_2100,0.0
jet_1784,0.14335775
jet_2394,0.2056523
jet_393,0.0058034062
jet_1569,0.004845202
jet_681,0.0
jet_2722,0.25618595
jet_2357,0.2103923
jet_3924,0.6241489
jet_2329,1.2143402
jet_3347,0.9685722
jet_2895,0.024449766
jet_79,0.0
jet_742,0.0
jet_2653,0.5265588
jet_199,0.8128502
jet_4543,0.52735215
jet_5010,0.43590373
jet_429,0.061469257
jet_3558,0.5128444
jet_4853,0.43545085
jet_179,0.11468631
jet_65,2.993522
jet_4281,0.2831571
jet_4860,0.57230586
jet_764,0.06037432
jet_2589,0.32689637
jet_5023,1.0156176
jet_4322,1.5397713
jet_881,0.58843607
jet_1168,0.43916094
jet_4506,0.4473763
jet_3040,0.6232808
jet_2170,0.41165632
jet_3737,1.5133009
jet_1912,0.30850548
jet_29,0.14932561
jet_584,0.4219244
jet_472,0.3728091
jet_491,0.14389002
jet_2974,0.07138944
jet_2121,0.05185741
jet_2877,0.0
jet_553,0.8699332
jet_798,0.25289494
jet_1170,0.28064376
jet_724,0.3670295
jet_2487,0.0
jet_1212,1.1896062
jet_1433,0.04492289
jet_3197,0.0
jet_1181,0.32805055
jet_23,1.0902882
jet_2259,0.46258086
jet_3988,0.14012462
jet_168,3.6261456
jet_3605,0.43998098
jet_1592,1.0515776
jet_2986,1.0230262
jet_4564,0.29472476
jet_4221,0.41437596
jet_227,0.40856457
jet_1420,0.0
jet_4195,0.57714266
jet_2746,0.0
jet_1532,1.4902134
jet_3916,0.4570709
jet_4325,1.165694
jet_842,0.0
jet_1305,0.5143166
jet_240,1.2441247
jet_84,0.44592905
jet_3164,0.48160988
jet_807,2.0391943
jet_4776,0.30226308
jet_2750,0.089889646
jet_1360,0.07670355
jet_705,0.18796688
jet_3912,1.179851
jet_927,0.0
jet_746,0.0
jet_2459,0.30023426
jet_157,0.09517974
jet_1330,0.7240909
jet_3257,0.065466225
jet_1270,0.009352028
jet_4398,1.3904848
jet_2992,1.5296357
jet_1038,0.58686274
jet_4981,0.85931677
jet_3447,1.0106719
jet_763,0.52592164
jet_1444,0.4164672
jet_3805,0.27083963
jet_1593,0.188182
jet_1041,0.07693988
jet_1103,0.47335225
jet_2119,1.0301044
jet_4231,0.99602145
jet_1626,0.25550956
jet_3543,0.59759456
jet_3918,0.9399273
jet_2859,0.051187217
jet_3958,0.0
jet_4154,0.7351119
jet_2520,0.38474238
jet_4952,0.10737246
jet_4621,0.27018708
jet_3683,0.0717935
jet_3909,0.4021262
jet_1144,0.14109516
jet_4064,0.4168042
jet_4969,0.4217412
jet_1620,0.19387925
jet_4588,0.30845773
jet_1192,0.111255825
jet_1101,0.0
jet_1978,0.9242819
jet_4212,0.97810596
jet_422,0.46407992
jet_589,0.041698754
jet_2497,0.19636124
jet_2104,0.07115227
jet_657,1.8917239
jet_2697,0.26181877
jet_4050,0.566405
jet_4256,0.73985547
jet_4882,1.119215
jet_426,0.39045322
jet_4280,0.5762386
jet_4819,0.7888476
jet_2907,0.6152101
jet_3184,0.79468733
jet_1769,0.3337826
jet_2656,0.13435733
jet_3409,0.8729287
jet_4985,1.0560515
jet_2753,0.06473857
jet_1943,0.7596865
jet_1833,0.0
jet_8,0.33513921
jet_2927,0.23965466
jet_4140,1.0673745
jet_3360,0.92914766
jet_751,0.4051479
jet_3130,0.21400738
jet_144,0.29079473
jet_670,0.36039513
jet_2291,0.3308394
jet_3066,0.9944797
jet_4295,0.4810118
jet_4180,0.4942972
jet_151,1.0153937
jet_3784,0.2936749
jet_3894,0.36187637
jet_2456,0.3350188
jet_1788,0.457846
jet_2447,0.3995363
jet_4995,0.3243937
jet_4342,1.3384209
jet_3889,0.60932237
jet_561,0.8149496
jet_2432,0.0
jet_2881,0.3980282
jet_3466,1.3495402
jet_416,1.0840437
jet_624,1.9920461
jet_3734,0.9730316
jet_1437,0.03272158
jet_2436,0.7692514
jet_3313,1.0026808
jet_2655,0.30379033
jet_4272,1.1851294
jet_2042,0.39325768
jet_2845,1.2447276
jet_100,1.1253529
jet_3096,0.16297388
jet_3669,1.417737
jet_3845,0.0
jet_2225,1.0952039
jet_555,0.22507769
jet_4826,0.8091175
jet_676,0.10162163
jet_3418,1.0448878
jet_2407,0.2959264
jet_4023,1.5757596
jet_4125,0.81344897
jet_4088,1.5535727
jet_3078,1.410181
jet_1499,0.58403295
jet_907,0.0
jet_468,0.0
jet_2644,0.1023733
jet_4916,0.751537
jet_2233,0.13309556
jet_485,0.013687789
jet_3340,0.7393735
jet_486,0.13479435
jet_3950,1.7836971
jet_3838,0.7706762
jet_297,0.8310041
jet_1971,0.014678657
jet_228,0.50036556
jet_4907,0.42318374
jet_3938,0.7726367
jet_3285,0.0
jet_2086,0.061208308
jet_3959,0.42922843
jet_3326,0.9412442
jet_1654,0.2842338
jet_4697,0.24080157
jet_1859,0.14901578
jet_33,1.1018679
jet_2820,0.64928526
jet_3439,1.4043951
jet_2836,0.50225145
jet_414,0.0742718
jet_1684,0.2694813
jet_1519,0.7307245
jet_465,1.3964403
jet_1907,0.43829733
jet_230,1.2715592
jet_2648,0.20524907
jet_1010,0.019429684
jet_2498,0.15363806
jet_4870,1.2622728
jet_4745,0.17510372
jet_1835,0.18795627
jet_2998,0.10982311
jet_4755,0.38800156
jet_805,0.4697047
jet_2555,0.64521736
jet_1115,0.43284196
jet_626,0.23961097
jet_2145,0.40641457
jet_1614,0.22199816
jet_3249,0.26444435
jet_4687,0.56080335
jet_4110,0.4404469
jet_828,0.0
jet_4578,0.9611446
jet_1344,0.24362713
jet_911,0.8267737
jet_4343,0.66012484
jet_1197,0.34419757
jet_691,0.07641822
jet_1623,0.5109144
jet_3497,1.1278772
jet_889,0.09024578
jet_149,0.46377343
jet_776,0.048344374
jet_1292,0.0
jet_3010,1.1815612
jet_12,1.5174587
jet_1231,0.66290647
jet_4054,1.0889349
jet_3161,0.6644359
jet_1173,0.3478039
jet_4691,0.5932457
jet_497,0.38856596
jet_3050,0.16194046
jet_3399,0.6031738
jet_3968,1.1913841
jet_4615,1.9165237
jet_1501,0.34277862
jet_4340,1.5848329
jet_2727,0.6126558
jet_2005,0.085109115
jet_4269,0.37507743
jet_3393,0.39653027
jet_2323,0.26063633
jet_1471,0.0
jet_711,0.9752205
jet_4345,0.8975627
jet_4001,0.6009006
jet_1697,2.4985762
jet_3953,1.5777636
jet_4041,1.2170658
jet_544,0.9108607
jet_599,0.2719195
jet_1044,0.0
jet_132,0.11477125
jet_1888,0.2541948
jet_4210,0.5374637
jet_4652,0.90033644
jet_4871,0.41058987
jet_4586,1.2375968
jet_4716,0.34676915
jet_3129,0.21447843
jet_287,0.2721843
jet_4348,1.2477133
jet_3767,0.6009938
jet_373,0.12795877
jet_2627,0.0
jet_4707,0.068917215
jet_2127,0.40852952
jet_964,0.29968578
jet_2022,0.04648745
jet_2680,0.44480646
jet_2952,0.7158794
jet_4646,0.2851199
jet_4501,0.50953513
jet_3757,1.3418558
jet_1427,0.8488589
jet_2638,0.070816875
jet_653,0.0
jet_3659,1.5786257
jet_3292,0.0
jet_4278,1.0527768
jet_1538,1.146672
jet_1504,0.0
jet_1174,0.17918223
jet_1108,0.198699
jet_1995,0.0
jet_2124,0.09723818
jet_1322,0.37356758
jet_3654,0.3863775
jet_2916,0.047077656
jet_2118,0.27504057
jet_1483,0.9378056
jet_2598,0.5628049
jet_4351,0.22859895
jet_2080,0.57251114
jet_1468,0.0
jet_4650,0.9070446
jet_3475,0.6856683
jet_3711,1.0498948
jet_3485,0.99245137
jet_3384,0.9612979
jet_1406,0.3544221
jet_4396,0.6338629
jet_1047,0.35866523
jet_1630,0.28182065
jet_2388,0.59734684
jet_2718,0.23807234
jet_3075,0.13525474
